ABINSPAY,ABMEDGOV1,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABMORAL,ABSTATE1,ABSTATE2,SEX,RACE,CLASS,PARTYID,ID
0,0,0,0,0,0,0,0,0,2,1,3,0,261
0,1,0,0,0,0,0,0,0,1,1,3,0,262
0,0,0,0,0,0,0,1,0,1,1,3,7,263
0,1,0,0,0,0,0,0,0,2,1,3,3,264
0,0,0,0,0,0,0,0,0,2,1,3,4,265
0,0,0,0,0,0,0,0,0,1,1,3,1,266
0,1,0,0,0,0,0,1,1,1,1,2,2,267
0,1,0,0,0,0,0,0,0,2,1,3,2,268
0,1,0,0,0,0,0,0,0,1,2,3,0,269
0,1,0,0,0,0,0,0,0,2,1,2,1,270
0,0,0,0,0,0,0,0,0,1,3,2,2,271
0,1,0,0,0,0,0,0,0,1,1,2,1,272
0,1,0,0,0,0,0,0,0,2,1,2,1,273
0,1,0,0,0,0,0,0,0,2,1,3,0,274
0,1,0,0,0,0,0,0,0,2,1,3,0,275
0,1,0,0,0,0,0,1,1,1,1,4,1,276
0,1,0,0,0,0,0,0,0,1,1,3,0,277
0,0,0,0,0,0,0,0,0,2,1,2,1,278
0,1,0,0,0,0,0,0,0,1,1,3,7,279
0,0,0,0,0,0,0,0,0,2,2,3,1,280
0,1,0,0,0,0,0,0,0,2,1,3,5,281
0,0,0,0,0,0,0,0,0,1,1,3,2,282
0,1,0,0,0,0,0,0,0,1,1,3,5,283
0,0,0,0,0,0,0,0,0,1,1,3,5,284
0,1,0,0,0,0,0,0,0,2,1,3,1,285
0,1,0,0,0,0,0,0,0,2,1,3,1,286
0,1,0,0,0,0,0,1,1,2,1,3,5,287
0,1,0,0,0,0,0,0,0,2,1,3,5,288
0,1,0,0,0,0,0,0,0,2,1,3,0,290
0,0,0,0,0,0,0,0,0,1,1,2,5,291
0,0,0,0,0,0,0,0,0,2,1,2,1,293
0,1,0,0,0,0,0,1,0,1,1,2,5,294
0,0,0,0,0,0,0,0,0,2,1,3,3,295
0,0,0,0,0,0,0,0,0,2,1,3,2,296
0,1,0,0,0,0,0,1,1,2,1,3,5,297
0,1,0,0,0,0,0,0,0,1,2,4,0,298
0,0,0,0,0,0,0,0,0,2,1,2,1,299
0,1,0,0,0,0,0,0,0,2,2,2,3,300
0,0,0,0,0,0,0,0,0,2,2,3,0,301
0,0,0,0,0,0,0,0,0,2,1,3,6,302
0,1,0,0,0,0,0,0,0,1,1,3,1,303
0,1,0,0,0,0,0,1,0,2,1,3,2,304
0,1,0,0,0,0,0,0,0,1,3,2,3,306
0,0,0,0,0,0,0,0,0,1,1,3,4,307
0,1,0,0,0,0,0,0,0,1,3,2,3,308
0,0,0,0,0,0,0,0,0,2,1,2,5,309
0,0,0,0,0,0,0,0,0,1,1,3,4,310
0,0,0,0,0,0,0,0,0,1,1,4,7,311
0,1,0,0,0,0,0,0,0,1,3,3,2,312
0,0,0,0,0,0,0,0,0,1,1,3,0,313
0,1,0,0,0,0,0,0,0,1,1,3,2,314
0,0,0,0,0,0,0,0,0,1,1,3,1,315
0,1,0,0,0,0,0,0,0,2,2,2,4,316
0,1,0,0,0,0,0,0,0,2,2,3,1,318
0,0,0,0,0,0,0,0,0,2,1,3,5,319
0,1,0,0,0,0,0,1,1,1,2,2,0,320
0,0,0,0,0,0,0,0,0,2,1,3,6,321
0,0,0,0,0,0,0,0,0,1,2,2,2,322
